index;course_title;views;last_viewed
35;Options Trading Stocks: Proven Toolbox For Financial Success;0;
36;Forex Trading A-Z™ - With LIVE Examples of Forex Trading;0;
37;Introduction to Finance, Accounting, Modeling and Valuation;0;
38;Beginner to Pro in Excel: Financial Modeling and Valuation;0;
39;The Complete Investment Banking Course 2017;0;
40;The Complete Financial Analyst Course 2017;0;
41;Python for Finance: Investment Fundamentals & Data Analytics;1;2024-10-26 10:23:47
42;Financial Modeling for Startups & Small Businesses;0;
43;Options Trading - How to Win with Weekly Options;0;
44;Black Algo Trading: Build Your Trading Robot;0;
45;Accounting & Financial Statement Analysis: Complete Training;0;
46;Cryptocurrency Trading: Complete Guide To Trading Altcoins;0;
47;Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!;0;
48;Three Steps Trading - Live Trading - Real Account;0;
49;Option Trading for Rookies:  Understand Options Completely;0;
50;How I Learned Stock Trading (and How You Can Too);0;
51;Learn to Trade for Profit: Find and Trade Winning Stocks;0;
52;Trading Inside Bars - Master 1 Easy Pattern To Be Successful;0;
53;Four Fundamentals of Financial Planning;0;
54;Options Trading - Calendar Spread Course for Every Trader;0;
55;Dividend Investing: Build Your Portfolio for a Better Future;0;
56;Learn Accounting. Understand Business.;0;
57;How to Consistently Win Trading Stocks in 30 Days or Less;0;
58;A Beginner's Guide to Quantopian Futures API;0;
59;How to Buy Cheap Options - Options Trading Pricing Model;0;
60;Excel Crash Course: Master Excel for Financial Analysis;0;
61;Comprehensive Guide to Financial Markets, Investing &Trading;0;
62;Stock Trading Ninja: Complete System For Trading Success;0;
63;Hedge and Mutual Fund Careers: The Complete Guide;0;
64;Algorithmic Trading In Forex: Create Your First Forex Robot!;0;
65;The Power Modeling Bootcamp: Advanced Excel in 10 Days;0;
66;Options Trading Basics (3-Course Bundle);0;
67;How to Win 97% of Your Options Trades;0;
68;How I Make Consistent Returns Trading Options;0;
69;Forex Strategies: Kelly Criterion, Larry Williams and more!;0;
70;Elite Trend Trader: Learn To Trade Stocks, Options & Forex;0;
71;Options Trading Introduction: Day Trade Stock Options;0;
72;The Almost Perfect Options Trading Strategy System - Unique;0;
73;Forex Trading -  Learn to Trade Forex Like the Banks;0;
74;Learn to Trade for Profit:Trading with Japanese Candlesticks;0;
75;The Most Powerful Options Spread Trading Front Ratio Spread;0;
76;What Finance Job is for You? Explanation of 14 Finance Roles;0;
77;The Blueprint for Successful Stock Trading;0;
78;Trading for Beginners - Intermediate Level;0;
79;Start Trading Stocks Using Technical Analysis!;0;
80;Learn How to Set Up an Incubator Hedge Fund - Step-by-Step;0;
81;VPS for Forex Trading - Protect Your Forex Robots;0;
82;Introduction to Accounting: The Language of Business;0;
83;Basic Excel for Basic Bookkeeping and Accounting;0;
84;"Using 'The Greeks To Understand Options""";0;
85;Trading Options For Consistent Returns: Calendar Spreads;0;
86;How to Create Your Personal Budget;0;
87;The Complete Value Investing Course: A Proven Approach;0;
88;FOREX Trading with Price Action;0;
89;Emini ES Futures - Advanced Non Directional Options Trading;0;
90;Forex Trading - Advanced Fundamental Analysis;0;
91;How To Invest With Tiny Capital In Stocks ?;0;
92;Learn How To Successfully Trade Stocks: In 5 Simple Steps;0;
93;Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader;0;
94;Intermediate Options trading concepts for Stocks and Options;0;
95;Options Trading 101: The Basics;0;
96;Practical Accounts APP Overview;0;
97;Bitcoin Profits for Beginners;0;
98;Trend Traders Club: How To Find And Trade Fast Moving Trends;0;
99;Financial Statements Basics;0;
100;High performance Stock Trading using key Options techniques;0;
101;Introduction to Financial Statement Analysis;0;
102;Basics of Economics (College Level);0;
103;Stock Market Investing for Beginners;0;
104;Accounting for Beginners : Learn Basics in under 1 Hour;0;
105;Straddle Options Trading - Profit in Any Market Direction;0;
106;Fundamentals of Forex Trading;0;
107;Binary Options: Trading Strategies, 90% Accuracy and Signals;0;
108;Website Investing 101 - Buying & Selling Online Businesses;0;
109;Practical Accounts & Bookkeeping Automated Overview ;0;
110;Live Account - ETF Trading System - Hacking The Stock Market;0;
111;Stock Market Leverage: How to Start Trading Options Wisely;0;
112;Stock Market Foundations;0;
113;Crash Course on Working Capital Management;0;
114;Advanced Accounting A Complete Study for CA / CMA / CFA / CS;0;
115;61% Profit In 1 Month - Crush Your Forex Trading Paradigm;0;
116;How to create a routine Trading;0;
117;Forex Trading Secrets |MT4 Robot (EA) inside, no coding;0;
118;Forex SOS Course: Trading Tweaks And Working Forex Strategy;0;
119;Introduction to Financial Modeling;0;
120;Quantitative Aptitude for Banking & Competitive Examinations;0;
121;Option Spreads and Credit Spreads Bundle;0;
122;B Com Accountancy I (Paper ECO 02 IGNOU);0;
123;FOREX TRADING - Learn in a quick + profitable way + support;0;
124;Auditing Basics (Professional Course Level);0;
125;Stock market Investing Encyclopedia: How to invest in stocks;0;
126;Learn the basics of preparing accounting statements;0;
127;Elliott Wave -Forex Trading With The Elliott Wave Theory;0;
128;Corporate Finance - A Brief Introduction;0;
129;Excel functions to analyze and visualize data;2;2024-10-26 11:41:18
130;Building Financial Statements in Excel;0;
131;Transfer Pricing A Complete Analysis;0;
132;Accounting: Get Hired Without Work Experience;0;
133;Forex Trading for Beginners - Basics;0;
134;Basic Bookkeeping Hacks;0;
135;Complete Trading Plan Course for Stocks & Forex (10 Hours);0;
136;"Forex Trading with Fixed 'Risk through Options Trading""";0;
137;Intro to Investment Banking, M&A, IPO, Modeling + Free Book;0;
138;How to Pick The Right Penny Stocks To Invest In 2017;0;
139;Top 10 Trading Ideas in the Equities Market;0;
140;Intro to Financial Modeling;0;
141;Shark Accounting - Building a Business by the Numbers!;0;
142;Forex Trading MAKE YOUR FIRST TRADE TODAY!;0;
143;Accounting in 60 Minutes - A Brief Introduction;0;
144;SAP FICO For Beginners - A Guide to SAP Financial Accounts;0;
145;Learn how to double your Forex Trading Account in one trade;0;
146;Accounting Superpowers: Learn Accounts, Understand Business!;0;
147;Python Algo Trading: FX Trading with Oanda;0;
148;Save on Your Taxes;0;
149;Financial Model Basics: Build a model from start to finish;0;
150;Option Trading for Rookies: The Covered Call Option Strategy;0;
151;EFT for Stock Options Trading Success & Making Better Trades;0;
152;Learn to Trade the Stock Market without Blowing Your Profits;0;
153;Get a Credit Repair Publication On Amazon and Live LIFE..;0;
154;Fundamentals of Accounting;0;
155;RSI, Options Trading & Technical Analysis (3 Course Bundle);0;
156;Basics of Mutual Funds for CA / CMA / CS / CFA Exams;0;
157;Accounting 101: How to read an Accounting Balance Sheet;0;
158;Stock Options Day Trading Mindset for Success;0;
159;Introduction to bookkeeping and Accounting;0;
160;Learn to Trade The News;0;
161;Value Investing, Taught by Six Superinvestors;0;
162;Trading for everyone - The Independent Investor Course I;0;
163;Get Acquired: Learn From The Head Of Acquisitions For eBay;0;
164;Stock Market investment: Practical Accounting;0;
165;"How to remove 'Risk from Penny Stocks - Options Trading""";0;
166;Accounting Basics in 66 Minutes (absolutely for beginners);0;
167;Tax Accounting: Difficult Topic, Made Easy to Understand;0;
168;Analysis of Company Financial Statements;0;
169;Forex Trading Like Banks – Step by Step with Live Examples;0;
170;Fundamentals of Investing!;0;
171;Bank Financial Management A Comprehensive Study;0;
172;Learn to Trade Forex and Stocks: From Beginner to Advanced;0;
173;"Master 'Technical Analysis and Chart reading skills Bundle""";0;
174;Naked Put Options Trade Covered Call & Poor Man Covered Call;0;
175;The Ultimate Guide to Dividend & Dividend Growth Investing;0;
176;Charting for Beginners 101: Technical Analysis Demystified;0;
177;Build a DCF Valuation Model;0;
178;Introductory Financial Accounting;0;
179;Introduction to Cryptocurrencies and Blockchain;0;
180;Trade Pullback Candlestick Strategy - Make Consistent Pips;0;
181;Accounting Standards Basics (Professional Course Level);0;
182;Use the Magic Multiple Moving Average Forex Trading system;0;
183;QuickBooks 2015 Training for Newbies;0;
184;TRADING PSYCHOLOGY: Trading Mindset Mastery;0;
185;Option Trading: How to Adjust Delta-Neutral Strangles!;0;
186;Profitable binary option trading strategy;0;
187;Tax Strategy: Financial Planning for Beginners;0;
188;Accounting 2 Simplified for You;0;
189;Project Funding Modelling (for Professionals);0;
190;Investing: How I Consistently Beat The Stock Market;0;
191;Bookkeeping Basics:  Understand the Fundamentals;0;
192;Leasing - A Comprehensive Study (Professional Course Level);0;
193;Trading Options For Consistent Returns: Options Basics;0;
194;TechniTrader Leading Hybrid Indicator Trading;0;
195;Financial modeling: Build a DCF equity valuation model;0;
196;CryptoArbitrager: Bitcoin Trading Robot (no mining);0;
197;Accounting Is Easy (for Beginners);0;
198;Non Directional Weekly Options Trading System - ETF & Emini;0;
199;The Complete Position Trading Course: Position Trading Stock;0;
200;Master Iron Condors - Double the credit for half the risk;0;
201;Basics of investing in Mutual Funds;0;
202;A Value Investing Approach to the Stock Market;0;
203;Learn how to INVEST for huge profits or make it big trading!;0;
204;How to Fund your Million Dollar Idea: Equity, Debt, Unfund;0;
205;Mastering Candlestick Charting : High Probability Trading;0;
206;Binary Options Course - Level 2;0;
207;Stock Technical Analysis with R;0;
208;"Get to know the VIX Index (aka 'The Fear Index)""";0;
209;Apply finance concepts for smart project management;0;
210;Introduction to Futures Trading and Live Trade Demonstration;0;
211;Crowdfunding to Win;0;
212;Comprehensive Forex Mastery Program;0;
213;Preparation of Consolidated Financial Statements (Basic);0;
214;Succeed in Bonds Even if You Don't Know Where to Start;0;
215;Learn to Trade for Profit: Ten Most Profitable Trading Rules;0;
216;Succeed in Lotto Even if You Don't Know Where to Start!;0;
217;CFA Corporate Finance Level 2;0;
218;Pin Bars: The Most Powerful Forex Trading Signal;0;
219;Stock Options Trades Using Interactive Brokers;0;
220;Introduction to Options - Strategies For Consistent Profits;0;
221;Risk in Forex Transactions - for CA / CS / CFA exams;0;
222;Basics of Business Statistics (College Level);0;
223;Trading Seasonal Price Patterns in Stocks, Futures, & Forex!;0;
224;Interpreting Financial Statements;0;
225;Introduction to Bookkeeping (Accounting);0;
226;CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ;0;
227;Investment Banking: How to Land a Job on Wall Street;0;
228;Learn To Invest In Index Funds and ETFs In 7 Easy Steps;0;
229;Financial modeling: Build a multiples valuation model;0;
230;Trade Recap I - A Real Look at Futures Options Markets;0;
231;Advanced Stock Options for Serious Equity Investors!;0;
232;Trading Binary Options for Fun and Profit;0;
233;CFA: Fast Track your career in Finance;0;
234;How to be a Profitable Forex Trader;0;
235;Excel Dashboard - Interactive Excel Dashboard and Charts;0;
236;Accounting 101: Learn Business Finance Forecasting in 60mins;0;
237;The Securities Trade Lifecycle;0;
238;Double your Forex Account using the MAGIC MA trading robot;0;
239;Technical Analysis 101: How to Profit During Market Crashes;0;
240;Advanced Accounting for Investment Banking;0;
241;Investing In Stocks With 10 Simple Rules;0;
242;Venture Capital. What is it and Why it Matters to You!;0;
243;Cash Flow Valuation: Develop Your Financial Literacy;0;
244;Direction-Independ Trading - Elite Forex Traders  Strategy;0;
245;How to Become a Financial Analyst from Scratch!;0;
246;First Steps to Trading the Forexmarkets : Technical Analysis;0;
247;Financial analysis: Compare performance of companies;0;
248;Forex for Beginners: Easy Forex Trading for Beginners;0;
249;Investment Crowdfunding 101 (a.k.a Equity Crowdfunding);0;
250;Read financial statements like a pro;0;
251;10 Numbers Every Business Owner Should Know;0;
252;Learn How To Trade Gold In 2017;0;
253;IAS 18 - Revenue;0;
254;Forex Trading: The High ROI Forex Trading End of Day Course;0;
255;Fundraise the Simplified Way: A Crowdfunding Blueprint;0;
256;Fundamentals of Accounting for Business Owners;0;
257;Practical Financial Statement Analysis;0;
258;Forex Management - Detailed Study for CA / CS / CFA Exams;0;
259;Financial Statement Review 101:  How to Find Errors;0;
260;Professional Risk Manager (PRM) Certification: Level 1;0;
261;International Tax  - Tax Beyond boundaries;0;
262;The Complete Financial Statement Analysis Course;0;
263;Advanced Excel functions;0;
264;Penny Stocks Value & Chart Pattern Trading (2 Course Bundle);0;
265;Candlestick Analysis For Professional Traders;0;
266;Build A Career In Forex Trading- Learn Fundamental Analysis;0;
267;Financial Modeling: Build a Complete DCF Valuation Model;0;
268;Hands-on Financial Modeling (With 6 Excel Templates);0;
269;CAIIB Advanced Bank Management (Part I);0;
270;Stock Market investment:Non financial fundamental analysis;0;
271;Learn How to Play CashFlow Game;0;
272;Basics of Business Finance;0;
273;Accounting Made Easy 2;0;
274;Bitcoin: el futuro del dinero, hoy;0;
275;Aprende a invertir practicando;0;
276;Trading con retrocesos de Fibonacci;0;
277;Mit Finanzwissen zu besserem Unternehmertum;0;
278;Como hacer empresa en 10 sesiones prácticas;0;
279;المحاسبة للإداريين و غير المحاسبين;0;
280;株式投資で本当のファンダメンタル分析ができるようになる;0;
281;Curso de Trading práctico basado en casos reales;0;
282;Curso Avanzado de Trading;0;
283;สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย;0;
284;MQL4 Tutorial Golden Goose;0;
285;Análise de Concessão de Crédito;0;
286;Technical Analysis Using Elliott Wave Theory;0;
287;The Basics Of Volume Analysis;0;
288;Crash Course on Cost of Capital and Capital Structuring;0;
289;Business Accounting Made Easy;0;
290;Build a DCF Model from Scratch;0;
291;"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""";0;
292;Technical Analysis - A practical approach for trade entry;0;
293;Mastering Technical Analysis : Maximizing Trading Profits;0;
294;The Complete Guide to Professional Trading with Elliott Wave;0;
295;A Complete Guide to Becoming a Trader on the Forex Market;0;
296;Stock Market for Beginners - Complete Starter Toolkit;0;
297;Beginners Binary Options Course;0;
298;Technical Analysis 101: Secrets of Trading Revealed;0;
299;Forex: What's a Trend and When it is Strong and Reliable;0;
300;Volatility Trading Analysis with R;0;
301;How To Profit From Stock Market Volatility;0;
302;Awaken the Accountant in You | Master the Accounting Basics;0;
303;WE WILL PAY YOU TO TRADE WITH US;0;
304;Situational Trading: Proven Option Strategy for any Scenario;0;
305;Portfolio Management for CA / CS / CFA exams;0;
306;Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance);0;
307;Finding an Unlimited Amount of Investors;0;
308;Bookkeeping Made Easy;0;
309;BITCOIN VISUALLY. Part I.;0;
310;Learn and Master the Basics of Finance;0;
311;FOREX : LearnTo Trade the Improved ( Advanced ) Patterns;0;
312;Mastering the Market : (Technical Analysis + Candlestick);0;
313;Mastering Countertrend Trading : High Profit Trading Pattern;0;
314;Exam 1 Review - Managerial Accounting (U of H);0;
315;* An Integrated Approach to the Fundamentals of Accounting;0;
316;Get to grips with the CFA calculator;0;
317;Financial Model Fundamentals-Learn the Essential Skills;0;
318;Forex: Economic News Trading;0;
319;Analyze Real Estate Investments | Financial Modeling;0;
320;Forex For Beginners - A Guide To Currency Trading;0;
321;Raise Your Credit Score to 800 Or More....;0;
322;Financial Management Budgeting Techniques;0;
323;Forex Killing Divergence - How to trade with precision;0;
324;Working Capital Management for CA / CFA / CPA Exams;0;
325;Risk Analysis - Capital Budgeting for CA / CS / CFA exams;0;
326;Corporate Finance 101: Financial Statement Analysis & Ratios;0;
327;Mastering Futures Options for Beginners - Your Top 5 Plays!;0;
328;Professional Options Trading, Simplified;0;
329;Advanced Options Concepts - Probability, Greeks, Simulation;0;
330;Accounting Basics - A Complete Study;0;
331;Case Studies in Macro Economics;0;
332;My Forex Strategy that win consistently over and over;0;
333;Understand Banks & Financial Markets ;0;
334;Stock Technical Analysis with Python;0;
335;How to Become an Accountant from scratch!;0;
336;How to invest in Gold;0;
337;Automate Your Finances;0;
338;MBA Accounting and Finance for Managers(Paper MS04 of IGNOU);0;
339;Accounting Made Easy: A Quick Guide to Financial Accounting;0;
340;Futures/Commodity Training (Basics);0;
341;Cost Accounting Marginal Costing Theory and Practice;0;
342;The Big Volatility Short: The Best Trade On Wall Street!;0;
343;Master Finance in Three Hours;0;
344;Learn Options on Futures for Hedging Options and Stocks;0;
345;Option selling trading as income source. Beginners friendly;0;
346;Introduction to Value Growth Investing;0;
347;Become A Forex Trader - Forex trading like a professional;0;
348;Hedge Fund Trading System;0;
349;Bulletproof Personal Finance: Expert Asset Allocation;0;
350;Financial Accounting: The Complete Introductory Crash Course;0;
351;Learn About Trading Options from a real wallstreet trader;0;
352;Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams;0;
353;How to Build a Massive Stock Portfolio from Zero!;0;
354;Introductory Forex Trading Course;0;
355;Budgeting Hacks to Build Wealth!;0;
356;Accounting and Finance for Bankers - A Comprehensive Study;0;
357;Forex Prep Academy for Beginners-Real trades!;0;
358;Accounting for Deferred Taxes (Professional Course Level);0;
359;TRADING TRUTHS;0;
360;The Binary Institute - Introductory Course in Binary Options;0;
361;Forex Trading vs Option Trading;0;
362;How to Invest in Stocks + Billionaire Investing Tips;0;
363;Value Investing For Beginners;0;
364;TRADING TACTICS;0;
365;MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4;0;
366;Ultimate Retirement: Build Your Own Dynamic Retirement Plan;0;
367;build a solid foundation for trading options;0;
368;Forex Scam: Avoid the scam today;0;
369;Cost Accounting Crash Course;0;
370;Option Trading for Rookies: Basic Option Strategies;0;
371;Business Analysis:  Working with Use Cases;0;
372;Learn to Raise the Funds You Need via Crowdfunding;0;
373;Business finances;0;
374;Financial Accounting - A Brief Introduction;0;
375;Trading Economic Indicators - Complete Trading System;0;
376;Foundation of Options Trading and Investing;0;
377;Option Trading - How To Earn If You Can't Predict The Market;0;
378;The Financial Analyst Skills Training (FAST) course 2017;0;
379;Covered Calls - Powerful Income Strategy for Stock Traders;0;
380;Accounting 1 Simplified for You;0;
381;[Value Investing] Where White People Keep Their Money;0;
382;How to Start Investing: Made Simple and Easy;0;
383;Basics of Commerce A Complete Study;0;
384;The Passive Investing Blueprint - Build Wealth Passively;0;
385;7 Steps: Your Introduction to Trading;0;
386;Forex - Elliott Wave Theory with Fibonacci. ;0;
387;The Actuarial Profession: Basic Sciences and Principles;0;
388;Investing in stocks: Avoid stock market loss;0;
389;QuickBooks Online: Complete Guide & Certification tips;0;
390;Build Financial Models & Value Companies The Easy Way;0;
391;Adventure Capital: How to pay off debt ;0;
392;Chart Patterns Trading Demystified;0;
393;Financial Planning & Analysis: Building a Company's Budget;0;
394;Simple things you must know before start FOREX (OFFER);0;
395;Practical Finance;0;
396;Forex Trading: Comprehensive & Concise Forex Trading Course;0;
397;Leaps Options Trading System - Diagonal Leaps Options Spread;0;
398;Finance - Ratios Analysis & Interpretations;0;
399;Forex Trading -  Learn to Trade From Scratch!;0;
400;Technical Analysis tools for Stocks and Options trading;0;
401;Quantitative Trading Analysis with R;0;
402;Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours);0;
403;Get Started With Penny Stocks -Step by Step Guide to Trading;0;
404;CPA 101: How To Master Affiliate Marketing In No Time;0;
405;Corporate Internal Controls and Fraud Controls;0;
406;Forex trading tactics, that work!;0;
407;Professional Risk Manager (PRM) Certification: Level 2;0;
408;Trading Options Basics;0;
409;Practical Trading on Financial Futures & Options Markets;0;
410;Bookkeeping made simple;0;
411;The Visual Learning Basic Accounting Course;0;
412;ChalkTalk: Financial Accounting;0;
413;The 7 fundamentals to Successful Cashflow Management;0;
414;How to trade options;0;
415;Coaching Course:Investment Analysis for your clients;0;
416;Harnessing the Power of Growth Stocks;0;
417;The Investment Banking Recruitment Series;0;
418;Business Banking 101;0;
419;CFA Level I Workshop 2: Financial Reporting & Analysis I ;0;
420;Breakout Patterns Workshop by Pattern Trader;0;
421;Asset Protection Using Offshore Companies;0;
422;Get Credit for Your EIN That's Not Linked to Your SSN;0;
423;Financial Translation;0;
424;How to Pick Stocks;0;
425;Binary Beginners Mastery Strategy.;0;
426;Accounting 101-Master Class for Understanding Business;0;
427;High-Frequency Trading & Dark Pools;0;
428;How To Crowdfund;0;
429;Financial Statement Fundamentals for Small Biz & Investors;0;
430;Master The Stock Market with practice;0;
431;Introduction to Trade Theory (Technical Analysis) For Stocks;0;
432;Forex Trading For Beginners: Technical Trading;0;
433;IAS 12 - Accounting for Income Taxes (Basics);0;
434;Surpassing Your Kickstarter Goals;0;
435;Simple Linear Regression Analysis ( A Complete Course );0;
436;Forex: Learn to Trade Forex and FX Consistently;0;
437;Trading: High-ROI Trading;0;
438;Fundraising 101;0;
439;Professional Bookkeeping & Accounting 2 - Bank Daybook;0;
440;Filing with Companies House UK;0;
441;Build, Grow, and Protect Your Assets: A Step-by-Step Guide;0;
442;The Advantages of ETF Options and Index Options Trading;0;
443;Learn to Trade Forex - from Beginner to Professional;0;
444;Investing In Stocks For Big Gains, Fundamental Investing;0;
445;Introduction to Equity Markets;0;
446;Beginners Guide To Ichimoku Trading;0;
447;Financial Management - Ratio Analysis;0;
448;ALGOTECH Hedge Fund Method for Stock Market Trading;0;
449;Futures/Commodity Trading;0;
450;Complete Claritas Investment Certificate;0;
451;Introduction to the economics of public services regulation;0;
452;Accounting Standard 3 - An Analysis;0;
453;Essentials of money value: Get a financial Life !;0;
454;Introduction to Forex Trading Business For Beginners;0;
455;Cryptocurrency (BTC & ETH) Investment & Trading Course 2017;0;
456;Introduction to Project Management for Finance and Acct'g;0;
457;Best Practices in Corporate Budgeting;0;
458;Financial Statement Auditing Cycles;0;
459;Case studies on credit appraisal for bankers;0;
460;Building a Balanced Scorecard;0;
461;Options Trading Foundation: Your journey to competency...;0;
462;Forex how traders beat the markest with little experience;0;
463;CFA Level 2- Quantitative Methods;0;
464;Foundations of Investing;0;
465;Capital Market Road Map;0;
466;TRADING: 5K CHALLENGE;0;
467;CurrencyFair - Avoid Bank Charges when converting currencies;0;
468;Bitcoin - A Comprehensive Guide;0;
469;Forex Trading;0;
470;"The True ' Secret Sauce  For Stock Market Success""";0;
471;Bookkeeping to Command Senior Bookkeeping Wages;0;
472;Take Your Career to the Next Level with MBA Finance;0;
473;How to Read Financial Statements:  Build Financial Literacy.;0;
474;Accounting Books of Accounts (College Level);0;
475;Forex Trading Profitably;0;
476;Learn How to Trade Pump and Dumps. 5 Setups Well Explained.;0;
477;Bitcoin Trading 101;0;
478;Visualizing Data;0;
479;IFRS Financial Reporting;0;
480;Forex Trading System: Correlation EUR/GBP vs GBP/USD;0;
481;SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports;0;
482;Learn Financial Accounting Different;0;
483;CFA Level I Workshop 4: Fixed Income and Equity;0;
484;IAS37 - Provisions, Contingents Liabilities & Assets;0;
485;What You Should Know to Become a Trader;0;
486;Financial Reporting A Comprehensive Study;0;
487;An Abundance Mindset: How to Craft Yours;0;
488;Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND;0;
489;How to Build a Massive Retirement Plan from Scratch!;0;
490;Financial modeling: Build a forward looking financial model;0;
491;Trading for Beginners - Entry Level;0;
492;Bitcoin or How I Learned to Stop Worrying and Love Crypto;0;
493;Trend Following Stocks: A Complete Trading System;0;
494;Forex Basics;0;
495;Accounting Bank Reconciliation Statement (College Level);0;
496;Bitcoin - Ethereum: Trading -Watch me manage my own account!;0;
497;FOREX : Learn Technical Analysis;0;
498;FastTrack to Stock Trading Strategies;0;
499;Algorithmic futures trading - Investing with no experience;0;
500;Succeed in Forex Even if You Don't Know Where to Start!;0;
501;Hedge Fund Accounting and Valuation;0;
502;Binary, Forex, Stock and Bitcoin Trading Strategy;0;
503;2 Easy Steps To Investment And Avoiding Traps;0;
504;Ethereum Course for Investors;0;
505;Using Xero for your bookkeeping needs  do beautiful business;0;
506;Capital Market Immersion;0;
507;Forex Trading :RSI Indicator-A Secret Weapon;0;
508;Trading Mindset, and Three Steps To Profitable Trading;0;
509;Professional Bookkeeping & Accounting 4:Trial Balance & More;0;
510;Internal Controls - Design, Implementation and Monitoring;0;
511;Forex online live trading system (Special Offer);0;
512;Winning Options Trading System;0;
513;Learn The ABC's Of Investing And Understanding True Financial Value;0;
514;How to invest in Russian equity market;0;
515;Handle difficult questions the bank manager will ask you;0;
516;Credit Control Procedures;0;
517;FMT: Forex Market Trader Certificate;0;
518;Six Stage Negotiation;0;
519;Financial Reporting - Fundamentals/Basics;0;
520;Decide whether to Invest in a Business ;0;
521;UK Tax Returns with HMRC;0;
522;Financial Market Environment & Investment Strategies;0;
523;How to Obtain a Business Loan;0;
524;Evolution and Features of ETFs;0;
525;Cost Accounting Operating Costing(Professional Course Level);0;
526;Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex);0;
527;Day trading strategy for all level, with 72% success rate;0;
528;Accounting, Finance and Banking - A Comprehensive Study;0;
529;Advanced Technical Analysis PART1!;0;
530;Advanced Financial Management for CA / CS / CFA /CPA Exams;0;
531;Learn the Foundations of Stocks and Options;0;
532;Forex Trading Masterclass - Learn To Trade Better;0;
533;Introduction to Accounting - Analyzing Financial Statements;0;
534;Credit Risk Analysis;0;
535;Fund Flow Analysis for CA / CFA / CPA Exams;0;
536;Python for Trading & Investing;0;
537;Stocks For Beginners - A Guide To Investing;0;
538;Intro to Impact Investing;0;
539;Stock Market - Swing Trading Strategies for Wall Street;0;
540;Essential Options: Strategies for Mastering the Stock Market;0;
541;The Day Trader: Learn to Trade The Stock Market and Forex;0;
542;Introduction To The World Of Equity Finance;0;
543;Stock Technical Analysis with Excel;0;
544;Beginners Forex strategy;0;
545;Mortgage Backed Securities;0;
546;The Complete Financial Model Builder Course-Build 7 Models;0;
547;Fundamental Financial Math;0;
548;Equity Swaps;0;
549;Proven Methods In Trading Candlestick Patterns;0;
550;Read financial statements as a stock investor;0;
551;Investing: How to Fix Hidden Flaws Inside Your Portfolio;0;
552;Certificate Program in Financial Accounting;0;
553;Trading Biotech Stocks - Understanding the Healthcare Sector;0;
554;Indian Contract Act 1872: Must for all Finance Professionals;0;
555;Fundraising Success: The Art & Science of Major Gifts;0;
